"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"10181","2019","34096","Castilla y León","Palencia",15.9090909090909,"Rural areas",1.09424842411901,32.14,45.0980392156863,0,23.6363636363636,NA,NA
"10183","2019","34098","Castilla y León","Palencia",15.4485049833887,"Rural areas",3.58610343881211,9.81,13.134328358209,2.88557213930348,29.0862290862291,11939,6.8
"10185","2019","34099","Castilla y León","Palencia",21.9512195121951,"Rural areas",1.65635860508305,25.54,22.7272727272727,0,20,NA,0
"10187","2019","34100","Castilla y León","Palencia",19.7916666666667,"Rural areas",1.70897272900885,89.17,24.822695035461,0,23.943661971831,15195,5.3
"10189","2019","34101","Castilla y León","Palencia",13.1578947368421,"Rural areas",0.743941460411258,40.21,45.6521739130435,0,18,NA,21.7
"10191","2019","34102","Castilla y León","Palencia",15.9763313609467,"Rural areas",2.16498618381218,13.62,30.4545454545455,0.454545454545455,17.5609756097561,13590,5.2
"10193","2019","34103","Castilla y León","Palencia",23.4567901234568,"Rural areas",1.66384318212924,30.68,44.8979591836735,0,21.4285714285714,NA,1.9
"10195","2019","34104","Castilla y León","Palencia",7.4468085106383,"Rural areas",2.2453603685223,38.54,35.4581673306773,2.39043824701195,24.7967479674797,11883,9.6
"10197","2019","34106","Castilla y León","Palencia",16.8316831683168,"Rural areas",1.48041382745988,29.26,33.8709677419355,8.06451612903226,18.348623853211,15190,2.7
"10199","2019","34107","Castilla y León","Palencia",17.3076923076923,"Rural areas",1.25874857314205,78.32,43.8356164383562,0,35.8024691358025,NA,0
"10201","2019","34108","Castilla y León","Palencia",14.4254278728606,"Rural areas",2.55682196897709,15.65,25.3378378378378,2.19594594594595,22.3247232472325,10923,14.3
"10203","2019","34109","Castilla y León","Palencia",9.75609756097561,"Rural areas",0.797981643054326,51.35,46.1538461538462,1.53846153846154,18.6440677966102,NA,5.9
"10205","2019","34110","Castilla y León","Palencia",7.69230769230769,"Rural areas",2.53651775925195,100.33,27.906976744186,0,19.3181818181818,NA,6.9
"10207","2019","34112","Castilla y León","Palencia",6.66666666666667,"Rural areas",1.08872230228132,45.44,36.5853658536585,2.4390243902439,17.3913043478261,NA,0
"10209","2019","34113","Castilla y León","Palencia",5.4054054054054,"Rural areas",1.59197045930302,69.93,30,0,5.26315789473681,NA,3.6
"10211","2019","34114","Castilla y León","Palencia",18.4210526315789,"Rural areas",0.64266627113272,84.27,46.7005076142132,3.55329949238579,30.4347826086957,12100,5
"10213","2019","34116","Castilla y León","Palencia",20,"Rural areas",1.12527825010427,47.68,42.8571428571429,0,20.9677419354839,NA,3.3
"10215","2019","34120","Castilla y León","Palencia",11.2335334165895,"Cities and suburbs",6.71641567408551,0,22.1547722287405,2.95362954649798,26.5066807861214,13580,9.9
"10217","2019","34121","Castilla y León","Palencia",22,"Rural areas",0.981416378920666,38.14,31.0679611650485,6.31067961165049,20.855614973262,11405,6.1
"10219","2019","34122","Castilla y León","Palencia",16.6666666666667,"Rural areas",1.71108765400129,68.94,19.8412698412698,0.793650793650794,27.710843373494,NA,3.4
"10221","2019","34123","Castilla y León","Palencia",9.88112927191679,"Rural areas",2.68198393286241,23.04,26.684350132626,1.11405835543767,21.9053398058252,11267,9.3
"10223","2019","34124","Castilla y León","Palencia",15.5172413793103,"Rural areas",1.24571902902403,82.97,35.8208955223881,0,16.6666666666667,NA,NA
"10225","2019","34125","Castilla y León","Palencia",10.3448275862069,"Rural areas",0.929146332458728,12.64,35.3658536585366,0,24.4186046511628,NA,4.4
"10227","2019","34126","Castilla y León","Palencia",22.2222222222222,"Rural areas",2.65651412501061,57.07,32.3333333333333,8.33333333333333,27.797833935018,10280,5.1
